Autocorr2D,Autocorr3D,RDF,MORSE,WHIM,GETAWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS1m_R,TDB01u_R,RDF010u_R,Mor01u_R,L1u_R,ITH1_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS2m_R,TDB02u_R,RDF015u_R,Mor02u_R,L2u_R,ISH2_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS3m_R,TDB03u_R,RDF020u_R,Mor03u_R,L3u_R,HIC3_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS4m_R,TDB04u_R,RDF025u_R,Mor04u_R,P1u_R,HGM4_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS5m_R,TDB05u_R,RDF030u_R,Mor05u_R,P2u_R,WAY5u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS6m_R,TDB06u_R,RDF035u_R,Mor06u_R,G1u_R,WAY6u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS7m_R,TDB07u_R,RDF040u_R,Mor07u_R,G2u_R,WAY7u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS8m_R,TDB08u_R,RDF045u_R,Mor08u_R,G3u_R,WAY8u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS1v_R,TDB09u_R,RDF050u_R,Mor09u_R,E1u_R,WAY9u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS2v_R,TDB10u_R,RDF055u_R,Mor10u_R,E2u_R,WAY10u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS3v_R,TDB01m_R,RDF060u_R,Mor11u_R,E3u_R,WAY11u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS4v_R,TDB02m_R,RDF065u_R,Mor12u_R,L1m_R,WAY12u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS5v_R,TDB03m_R,RDF070u_R,Mor13u_R,L2m_R,WAY13u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS6v_R,TDB04m_R,RDF075u_R,Mor14u_R,L3m_R,WAY14u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS7v_R,TDB05m_R,RDF080u_R,Mor15u_R,P1m_R,WAY15u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS8v_R,TDB06m_R,RDF085u_R,Mor16u_R,P2m_R,WAY16u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS1e_R,TDB07m_R,RDF090u_R,Mor17u_R,G1m_R,WAY17u_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
