Name,SMILES
p0110,C[C@@]1(CCCC2([C@H]1CCc3c2cc(cc3)OC)C)C(=O)OC
p0111,C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O
p0112,CCCCCCCCCCCCS(=O)(=O)O
p0113,CC(C)(C)OC
p0114,C(COCCC#N)C#N
p0115,CCN(CC)C(=O)CSc1ccc(nn1)Cl
p0116,COC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)OC)Cl)Cl
p0117,CCCCN(CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
p0118,C(#N)c1c(c(c(c(c1Cl)Cl)Cl)C#N)Cl
p0119,CCNc1nc(nc(n1)Cl)NC(C)C
p0120,c1(c(c(nc(c1Cl)Cl)C(=O)O)Cl)N
p0121,Cc1cc(c(c(c1)C(C)(C)C)OC(=O)NC)C(C)(C)C
p0122,CCCCCCCCCCN
p0123,CCCCCCCCCCOCCCCCCCCCC
p0124,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCCOCCOCCOCCOCCO
p0125,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC
p0126,CCNc1[nH]c(nc(=O)n1)NCC
p0127,CC(O)(P(=O)(O)O)P(=O)(O)O
p0128,CCCCC(CCCC)c1ccncc1
p0129,c1cc(c(cc1[N+](=O)[O-])Cl)C(=O)N
p0130,CC(=O)Nc1ccc(cc1)c2ccc(cc2)N
p0131,c1ccc-2c(c1)Cc3c2cc(c(c3Br)N)Br
p0132,Cn1cccc(c1=O)C#N
p0133,c1cc(ncc1N)N
p0134,CC(CC(CC(C)(C)C)(C)C)CC(C)(C)C
p0135,c1ccc2c(c1)c(nnc2Cl)Cl
p0136,c1ccc(cc1)C2CCC=CC2
p0137,CC(C#N)c1cccc(c1)C(=O)O
p0138,C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)O
p0139,C(CCCCCC(=O)O)CCCCC#N
p0140,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl
p0141,C=C(CO)Cl
p0142,c1ccc2c(c1)CCc3ccccc3NC2=O
p0143,c1ccc(cc1)Sc2ccc(cc2)C(=O)O
p0144,COC(=O)C(Cc1ccccc1Cl)C#N
p0145,CC(=O)c1ccc(cc1)n2ccnc2
p0146,n1c3ccccc3nn1c2ccccc2O
p0147,C(CCC(=O)O)CC[N+](=O)[O-]
